Rk,Year,Team,Conf,NetRtg,Ortg,DRtg,AdjT,,,,,,,,,,
288,2025,Iona,MAAC,-9.62,97.2,106.8,69,,,,,,,,,,
289,2025,Air Force,MWC,-9.8,100.5,110.3,62.7,,,,,,,,,,
290,2025,Kansas City,Sum,-9.82,98.3,108.1,67.4,,,,,,,,,,
291,2025,Incarnate Word,Slnd,-9.86,105,114.9,66.5,,,,,,,,,,
292,2025,Bethune Cookman,SWAC,-9.91,96.4,106.3,69.9,,,,,,,,,,
293,2025,San Diego,WCC,-9.98,93.4,103.3,72.9,,,,,,,,,,
294,2025,Southeast Missouri,OVC,-10.02,96.3,106.3,71.5,,,,,,,,,,
295,2025,Morehead St.,OVC,-10.15,100.3,110.4,67.4,,,,,,,,,,
296,2025,Nebraska Omaha,Sum,-10.25,100.5,110.8,67.7,,,,,,,,,,
297,2025,Detroit Mercy,Horz,-10.58,99.7,110.3,67.5,,,,,,,,,,
298,2025,Utah Tech,WAC,-10.6,99.2,109.8,68,,,,,,,,,,
299,2025,Manhattan,MAAC,-10.69,101.1,111.7,69.6,,,,,,,,,,
300,2025,Monmouth,CAA,-10.7,100.6,111.3,68.1,,,,,,,,,,
301,2025,Fairfield,MAAC,-10.78,100,110.8,66.4,,,,,,,,,,
302,2025,Oral Roberts,Sum,-10.9,102.8,113.7,69.1,,,,,,,,,,
303,2025,Eastern Michigan,MAC,-11.13,98.8,109.9,67.2,,,,,,,,,,
304,2025,Niagara,MAAC,-11.44,99.3,110.8,65,,,,,,,,,,
305,2025,Portland,WCC,-11.47,98.3,109.8,70,,,,,,,,,,
306,2025,Texas Southern,SWAC,-11.49,98,109.5,69,,,,,,,,,,
307,2025,North Carolina A&T,CAA,-11.52,100.1,111.6,72.6,,,,,,,,,,
308,2025,Long Beach St.,BW,-11.53,99,110.6,65.3,,,,,,,,,,
309,2025,Western Carolina,SC,-11.56,96.5,108.1,71.2,,,,,,,,,,
310,2025,Wagner,NEC,-11.67,93,104.7,61,,,,,,,,,,
311,2025,Penn,Ivy,-11.71,101.4,113.1,65.2,,,,,,,,,,
312,2025,Jackson St.,SWAC,-12.01,95.8,107.8,69.5,,,,,,,,,,
313,2025,Cal St. Fullerton,BW,-12.02,95.8,107.8,65.7,,,,,,,,,,
314,2025,Navy,PL,-12.14,100.3,112.5,68.8,,,,,,,,,,
315,2025,Binghamton,AE,-12.26,99.4,111.6,64.9,,,,,,,,,,
316,2025,Green Bay,Horz,-12.3,103,115.3,70.6,,,,,,,,,,
317,2025,Denver,Sum,-12.33,99.3,111.6,67.9,,,,,,,,,,
318,2025,Tennessee St.,OVC,-12.76,99,111.8,71.6,,,,,,,,,,
319,2025,Loyola MD,PL,-12.87,97.2,110.1,67.3,,,,,,,,,,
320,2025,Tarleton St.,WAC,-12.95,95.1,108,66.6,,,,,,,,,,
321,2025,Stonehill,NEC,-13.07,97.2,110.2,66.1,,,,,,,,,,
322,2025,Saint Francis,NEC,-13.18,98,111.1,68.7,,,,,,,,,,
323,2025,Buffalo,MAC,-13.32,99.4,112.7,69.7,,,,,,,,,,
324,2025,Eastern Illinois,OVC,-13.44,95.4,108.9,66.7,,,,,,,,,,
325,2025,Western Illinois,OVC,-13.63,98.9,112.5,63.9,,,,,,,,,,
326,2025,Old Dominion,SB,-13.85,97.9,111.7,68.6,,,,,,,,,,
327,2025,Dartmouth,Ivy,-14.02,96.5,110.5,69.9,,,,,,,,,,
328,2025,The Citadel,SC,-14.41,95.9,110.3,65.5,,,,,,,,,,
329,2025,Tennessee Tech,OVC,-14.42,99.1,113.5,67.8,,,,,,,,,,
330,2025,Bellarmine,ASun,-14.43,101.5,115.9,66.9,,,,,,,,,,
331,2025,Holy Cross,PL,-14.47,100.6,115.1,65.3,,,,,,,,,,
332,2025,Sacramento St.,BSky,-14.68,94.7,109.4,65.3,,,,,,,,,,
333,2025,Central Arkansas,ASun,-14.72,96.1,110.8,67.5,,,,,,,,,,
334,2025,Stetson,ASun,-14.96,99.1,114.1,68.6,,,,,,,,,,
335,2025,Tennessee Martin,OVC,-15.01,94.2,109.2,68.7,,,,,,,,,,
