,Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,PFSeed,PFTeam,PFScore,PUSeed,PUTeam,PUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,SOSEM_x,SOSO_x,SOSD_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,PASE_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,SOSEM_y,SOSO_y,SOSD_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y,PASE_y
42,2008,2,NE,43,3,Stanford,82,6,Marquette,81,3,Stanford,82,6,Marquette,81,Stanford,P10,22.75,113.6,90.9,63.4,9.32,109.1,99.7,5.5,8.6,28.0,8.0,70.9,61.6,9.36,6.95,5.6,10.71,16.31,-0.3098958333333333,Marquette,BE,22.16,115.3,93.1,66.6,8.62,107.9,99.3,8.3,5.9,25.0,10.0,75.9,64.8,11.11,8.09,11.23,7.39,18.62,-0.1158854166666666
43,2008,2,NE,44,2,Texas,75,7,Miami FL,72,2,Texas,75,7,Miami FL,72,Texas,B12,25.09,120.6,95.5,63.9,10.37,108.4,98.0,9.4,4.3,31.0,7.0,75.5,64.9,10.55,8.59,9.93,8.2,18.13,-0.0802469135802469,Miami FL,ACC,15.38,112.5,97.1,65.8,7.78,106.7,98.9,8.1,2.2,23.0,11.0,74.8,67.9,6.85,7.13,7.49,4.89,12.38,-0.4513888888888889
44,2008,2,SE,45,1,UCLA,53,9,Texas A&M,49,1,UCLA,53,9,Texas A&M,49,UCLA,P10,29.94,118.0,88.1,64.1,10.03,109.3,99.3,7.9,10.9,35.0,4.0,73.5,59.0,14.54,7.71,8.6,13.1,21.71,0.423076923076923,Texas A&M,B12,19.93,112.3,92.3,61.8,8.28,107.4,99.1,4.1,8.2,25.0,11.0,70.8,61.6,9.22,7.46,4.82,11.38,16.2,0.1304012345679012
45,2008,2,SE,46,12,Western Kentucky,72,13,San Diego,63,12,Western Kentucky,72,13,San Diego,63,Western Kentucky,SB,14.6,111.9,97.3,68.2,-0.85,103.3,104.2,7.5,0.6,29.0,7.0,77.4,66.8,10.61,0.24,7.93,1.41,9.34,0.2806712962962963,San Diego,WCC,4.64,101.6,97.0,63.0,1.43,104.3,102.9,-1.7,3.7,22.0,14.0,65.7,63.8,1.92,1.45,-3.71,7.1,3.39,-0.0347222222222222
46,2008,2,SE,47,3,Xavier,85,6,Purdue,78,3,Xavier,85,6,Purdue,78,Xavier,A10,22.05,117.3,95.2,63.8,6.94,108.1,101.2,7.9,6.4,30.0,7.0,75.1,63.4,11.7,5.47,8.4,8.76,17.17,0.1358333333333333,Purdue,B10,18.3,110.5,92.2,66.9,6.41,106.2,99.7,3.9,6.0,25.0,9.0,69.6,62.4,7.21,5.9,5.95,7.16,13.1,-0.2888374485596707
47,2008,2,SE,48,2,Duke,67,7,West Virginia,73,2,Duke,67,7,West Virginia,73,Duke,ACC,26.4,116.3,89.9,71.5,10.06,109.1,99.0,13.8,4.3,28.0,6.0,83.2,69.4,13.79,9.28,16.48,5.04,21.52,0.1589052287581699,West Virginia,BE,21.29,114.6,93.3,63.8,9.0,108.5,99.5,8.9,7.7,26.0,11.0,74.8,63.6,11.27,7.16,8.45,9.52,17.97,0.1760620915032679
48,2008,3,NW,49,1,North Carolina,68,4,Washington St.,47,1,North Carolina,68,4,Washington St.,47,North Carolina,ACC,30.22,122.1,91.9,72.5,10.18,108.0,97.8,19.2,1.0,36.0,3.0,88.6,72.5,16.05,8.12,23.41,0.76,24.17,0.2683080808080808,Washington St.,P10,24.32,115.1,90.8,58.3,8.99,109.0,100.0,1.1,13.2,26.0,9.0,66.4,56.4,10.0,6.35,0.1,16.25,16.35,-0.3564814814814815
49,2008,3,NW,50,2,Tennessee,60,3,Louisville,79,2,Tennessee,60,3,Louisville,79,Tennessee,SEC,22.17,116.2,94.0,70.7,9.58,109.4,99.8,13.3,2.8,31.0,5.0,81.8,70.0,11.86,7.84,15.69,2.73,18.41,-0.1398148148148147,Louisville,BE,25.41,113.1,87.7,65.3,9.34,108.4,99.0,7.1,9.1,27.0,9.0,72.5,61.5,11.0,8.0,7.15,11.85,19.0,0.3330662393162393
50,2008,3,SW,51,1,Kansas,72,12,Villanova,57,1,Kansas,72,12,Villanova,57,Kansas,B12,35.21,120.9,85.7,66.8,9.57,109.2,99.6,12.4,9.6,37.0,3.0,80.5,61.5,19.03,8.2,14.9,11.99,26.9,-0.0087301587301587,Villanova,BE,14.21,109.2,95.0,68.1,9.14,108.9,99.8,5.6,3.4,22.0,13.0,72.8,69.5,3.31,7.69,6.92,4.08,11.0,0.1099537037037037
51,2008,3,SW,52,3,Wisconsin,56,10,Davidson,73,3,Wisconsin,56,10,Davidson,73,Wisconsin,B10,26.68,113.5,86.8,61.1,7.35,107.1,99.8,2.1,14.4,31.0,5.0,67.3,54.4,12.86,6.73,2.83,16.76,19.59,0.2889492753623188,Davidson,SC,23.61,117.0,93.4,66.2,3.36,105.2,101.8,9.5,5.3,29.0,7.0,77.9,63.2,14.69,1.66,8.49,5.44,13.93,0.0055555555555556
