Year,Round,Region,Game,AFSeed,AFTeam,AFScore,AUSeed,AUTeam,AUScore,Team_x,Conf_x,AdjEM_x,AdjO_x,AdjD_x,AdjT_x,BPIO_x,BPID_x,W_x,L_x,Pts_x,Opp_x,MOV_x,SOS_x,OSRS_x,DSRS_x,SRS_x,Team_y,Conf_y,AdjEM_y,AdjO_y,AdjD_y,AdjT_y,BPIO_y,BPID_y,W_y,L_y,Pts_y,Opp_y,MOV_y,SOS_y,OSRS_y,DSRS_y,SRS_y
2009,1,NW,7,7,Boston College,55,10,USC,72,Boston College,ACC,11.2,113.2,102,65.3,7.7,0.7,22,12,74.4,70.5,3.85,7.23,8.48,1.88,10.36,USC,P10,18.26,110,91.8,63.7,2.3,7.5,22,13,68.5,63.5,4.94,9.15,3.36,10.74,14.09
2009,1,NW,8,2,Michigan St.,77,15,Robert Morris,62,Michigan St.,B10,24.37,114.3,89.9,66.5,7.8,6.1,31,7,72,63.7,8.34,9.37,9.33,8.39,17.71,Robert Morris,NEC,1.49,102,100.6,66,1.2,1.5,24,11,70.5,65.4,5.11,-5.23,-0.32,-0.38,-0.7
2009,1,SW,9,1,Connecticut,103,16,Chattanooga,47,Connecticut,BE,29.25,116,86.8,67.1,12.3,6.4,31,5,78.3,64.3,14.06,8.57,13.22,8.96,22.17,Chattanooga,SC,-4.04,104.3,108.4,69.5,4.9,-6.9,18,17,75.9,76.8,-0.86,-3.13,3.75,-10,-6.25
2009,1,SW,10,8,BYU,66,9,Texas A&M,79,BYU,MWC,20.1,114,93.9,69,8,2.2,25,8,77.1,65.2,11.94,4.15,11.73,3.39,15.12,Texas A&M,B12,15.01,113.1,98.1,63.9,3.9,3.8,24,10,71.8,67.1,4.68,6.13,4.94,5.58,10.52
2009,1,SW,11,5,Purdue,61,12,Northern Iowa,56,Purdue,B10,21.84,110.5,88.7,65.9,5.6,8,27,10,69.1,59.8,9.27,7.17,6.57,9.87,16.44,Northern Iowa,MVC,9.7,110.6,100.9,60.8,0.8,4.5,23,11,67.4,63.5,3.88,2.24,0.73,4.91,5.63
2009,1,SW,12,4,Washington,71,13,Mississippi St.,58,Washington,P10,22.09,113.1,91,72.2,11.8,-0.1,26,9,78.6,69.5,9.11,8.19,14.93,1.85,16.78,Mississippi St.,SEC,11.55,107.8,96.2,67.2,5.7,1.1,23,13,74.4,68.9,5.5,4.62,6.45,2.65,9.1
2009,1,SW,13,6,Marquette,58,11,Utah St.,57,Marquette,BE,21.02,117.1,96.1,67.5,10.6,1.3,25,10,78.3,69.5,8.77,7.87,12.58,2.48,15.06,Utah St.,WAC,15.12,116.7,101.6,60,2.8,3.9,30,5,72.4,62,10.43,0.07,2.67,6.66,9.33
2009,1,SW,14,3,Missouri,78,14,Cornell,59,Missouri,B12,24.81,116.6,91.8,70.9,12.9,2.9,31,7,81.5,67.7,13.82,6.72,15.46,4.1,19.56,Cornell,Ivy,5.23,108.5,103.3,65.4,4.8,0.6,21,10,73.6,64.7,8.84,-4.01,3.6,-0.9,2.71
2009,1,SW,15,7,California,71,10,Maryland,84,California,P10,17.37,116.8,99.4,66,8.9,0.4,22,11,74.9,68.8,6.09,7.21,11.18,2.12,13.3,Maryland,ACC,13.55,110,96.4,66.3,5.7,3.5,21,14,71.8,69.1,2.66,8.99,6.63,4.48,11.1
2009,1,SW,16,2,Memphis,81,15,Cal St. Northridge,70,Memphis,CUSA,28.67,112.8,84.2,65.9,8.1,10.3,33,4,75.1,58.8,16.3,4.63,8.53,12.4,20.92,Cal St. Northridge,BW,5.18,102.2,97,71.8,4.3,-2.4,17,14,73.6,70.3,3.35,-0.14,6.41,-3.76,2.65
2009,1,NE,17,1,Pittsburgh,72,16,East Tennessee St.,62,Pittsburgh,BE,28.96,121.2,92.3,65.2,11,7,31,5,77.4,64.4,12.97,8.61,12.17,9.04,21.21,East Tennessee St.,ASun,5.67,106.4,100.7,69.6,5.7,-2,23,11,78.1,70.1,8.06,-1.87,6.16,-2.95,3.21
